PERMNO,date,TICKER,RET
11308,2001/01/02,KO,-0.002051
11308,2001/01/03,KO,-0.025694
11308,2001/01/04,KO,-0.028481
11308,2001/01/05,KO,0.002172
11308,2001/01/08,KO,0.016251
11308,2001/01/09,KO,0.012793
11308,2001/01/10,KO,-0.004211
11308,2001/01/11,KO,-0.029598
11308,2001/01/12,KO,-0.013072
11308,2001/01/16,KO,0.006623
11308,2001/01/17,KO,0.016447
11308,2001/01/18,KO,-0.014024
11308,2001/01/19,KO,-0.022976
11308,2001/01/22,KO,-0.002240
11308,2001/01/23,KO,0.021324
11308,2001/01/24,KO,0.020879
11308,2001/01/25,KO,0.009688
11308,2001/01/26,KO,-0.011727
11308,2001/01/29,KO,-0.014110
11308,2001/01/30,KO,0.013831
11308,2001/01/31,KO,0.001554
11308,2001/02/01,KO,-0.009655
11308,2001/02/02,KO,0.005223
11308,2001/02/05,KO,0.025286
11308,2001/02/06,KO,0.003716
11308,2001/02/07,KO,0.009761
11308,2001/02/08,KO,0.010167
11308,2001/02/09,KO,-0.007755
11308,2001/02/12,KO,0.011307
11308,2001/02/13,KO,-0.014140
11308,2001/02/14,KO,-0.007672
11308,2001/02/15,KO,-0.018992
11308,2001/02/16,KO,0.016961
11308,2001/02/20,KO,-0.014993
11308,2001/02/21,KO,-0.060715
11308,2001/02/22,KO,-0.035142
11308,2001/02/23,KO,-0.018683
11308,2001/02/26,KO,0.009038
11308,2001/02/27,KO,-0.008958
11308,2001/02/28,KO,0.019808
11308,2001/03/01,KO,-0.006223
11308,2001/03/02,KO,-0.002846
11308,2001/03/05,KO,-0.044719
11308,2001/03/06,KO,-0.007968
11308,2001/03/07,KO,0.012651
11308,2001/03/08,KO,0.019235
11308,2001/03/09,KO,0.001945
11308,2001/03/12,KO,-0.027184
11308,2001/03/13,KO,-0.023353
11308,2001/03/14,KO,-0.022154
11308,2001/03/15,KO,-0.000419
11308,2001/03/16,KO,0.020986
11308,2001/03/19,KO,-0.005139
11308,2001/03/20,KO,-0.020041
11308,2001/03/21,KO,-0.045962
11308,2001/03/22,KO,0.010387
11308,2001/03/23,KO,-0.004812
11308,2001/03/26,KO,-0.013187
11308,2001/03/27,KO,0.038085
11308,2001/03/28,KO,-0.014160
11308,2001/03/29,KO,-0.031121
11308,2001/03/30,KO,0.014376
11308,2001/04/02,KO,0.015279
11308,2001/04/03,KO,-0.025954
11308,2001/04/04,KO,0.013211
11308,2001/04/05,KO,0.001105
11308,2001/04/06,KO,-0.006622
11308,2001/04/09,KO,-0.024444
11308,2001/04/10,KO,-0.005695
11308,2001/04/11,KO,0.010997
11308,2001/04/12,KO,0.009971
11308,2001/04/16,KO,0.018847
11308,2001/04/17,KO,0.006386
11308,2001/04/18,KO,0.022976
11308,2001/04/19,KO,0.016043
11308,2001/04/20,KO,-0.010526
11308,2001/04/23,KO,0.009574
11308,2001/04/24,KO,-0.001265
11308,2001/04/25,KO,0.017092
11308,2001/04/26,KO,-0.026971
11308,2001/04/27,KO,0.002132
11308,2001/04/30,KO,-0.017234
11308,2001/05/01,KO,0.031176
11308,2001/05/02,KO,-0.001260
11308,2001/05/03,KO,-0.017238
11308,2001/05/04,KO,0.001711
11308,2001/05/07,KO,-0.000214
11308,2001/05/08,KO,-0.005340
11308,2001/05/09,KO,-0.017393
11308,2001/05/10,KO,-0.003278
11308,2001/05/11,KO,-0.007016
11308,2001/05/14,KO,0.015897
11308,2001/05/15,KO,-0.002391
11308,2001/05/16,KO,0.050762
11308,2001/05/17,KO,-0.002073
11308,2001/05/18,KO,-0.000623
11308,2001/05/21,KO,0.003950
11308,2001/05/22,KO,-0.010147
11308,2001/05/23,KO,0.018828
11308,2001/05/24,KO,0.008008
11308,2001/05/25,KO,-0.018741
